usuario,estrelas,sentimento,comentario,comentario_limpo,cronologia,data_avaliacao,ano,periodo
Marcus Vinicius Campos,5,positivo,Sem comentário,comentário,2 semanas atrás,2025-10-14 17:06:31.941942,2025,pós-pandemia
Ademi Alves,5,positivo,Sem comentário,comentário,2 semanas atrás,2025-10-14 17:06:31.941985,2025,pós-pandemia
Joao Natalino De Sousa Filho,5,positivo,Sem comentário,comentário,4 semanas atrás,2025-09-30 17:06:31.941996,2025,pós-pandemia
Belle,5,positivo,Sem comentário,comentário,2 meses atrás,2025-08-29 17:06:31.942032,2025,pós-pandemia
adriana (drica),5,positivo,"Acervo incrível, tem de tudo um pouco, é uma biblioteca de fato, armazena todo tipo de informação. O pessoal que trabalha lá é muito simpático, ir lá é muito bom.",acervo incrível tudo pouco biblioteca fato armazena todo tipo informação pessoal trabalha lá simpático ir lá bom,2 meses atrás,2025-08-29 17:06:31.942040,2025,pós-pandemia
Natalia Lopes,5,positivo,Sem comentário,comentário,2 meses atrás,2025-08-29 17:06:31.942048,2025,pós-pandemia
Douglas Lourenco,5,positivo,Sem comentário,comentário,2 meses atrás,2025-08-29 17:06:31.942054,2025,pós-pandemia
احمد ياسين,5,positivo,Sem comentário,comentário,2 meses atrás,2025-08-29 17:06:31.942060,2025,pós-pandemia
edmilson oliveira,5,positivo,Sem comentário,comentário,3 meses atrás,2025-07-30 17:06:31.942066,2025,pós-pandemia
Silene Guedes,5,positivo,"Excelente ponto de leitura, tinha brincadeiras com as crianças.  Leituras e espaços super aconchegantes. Super recomendo.",excelente ponto leitura brincadeiras crianças leituras espaços super aconchegantes super recomendo,3 meses atrás,2025-07-30 17:06:31.942073,2025,pós-pandemia
Magno Soares (Soaresmagno),5,positivo,ótimo espaço,ótimo espaço,3 meses atrás,2025-07-30 17:06:31.942079,2025,pós-pandemia
Ariane Melo,5,positivo,"É um presente para a zona norte, aliás que cada região e bairro possam ter uma biblioteca com os recursos que a BSP tem, incluindo a variedade de livros, o conforto, brinquedoteca e área livre de lazer, além dos eventos e oficinas. Eu amo a BSP e amei conhecer também a BibliOn, a versão digital.",presente zona norte aliás cada região bairro possam ter biblioteca recursos bsp incluindo variedade livros conforto brinquedoteca área livre lazer além eventos oficinas amo bsp amei conhecer biblion versão digital,3 meses atrás,2025-07-30 17:06:31.942085,2025,pós-pandemia
Ivanildo Dos Santos Silva,5,positivo,Sem comentário,comentário,4 meses atrás,2025-06-30 17:06:31.942091,2025,pós-pandemia
Katia Cardoso,5,positivo,Perfeito em tudo,perfeito tudo,5 meses atrás,2025-05-31 17:06:31.942097,2025,pós-pandemia
Rhina Midori Maegawa,5,positivo,Sem comentário,comentário,5 meses atrás,2025-05-31 17:06:31.942103,2025,pós-pandemia
Simone Zamariola,5,positivo,A biblioteca São Paulo é um excelente lugar para quem quer ler livrosUm ambiente limpo e tranquiloÓtimo também para levar a criançada para ouvir histórias infantis,biblioteca paulo excelente lugar quer ler livrosum ambiente limpo tranquiloótimo levar criançada ouvir histórias infantis,5 meses atrás,2025-05-31 17:06:31.942109,2025,pós-pandemia
sonia da silva roza,5,positivo,"Gosto muito desta biblioteca, os funcionários são atenciosos c todos, crianças e moradores de rua são bem-vindos, fico feliz com essas atitudes...Só gostaria que tivesse mais um portão ( do parque, Carandiru ) para entrarmos, ia ajudar nossa entrada.Obrigada.",gosto desta biblioteca funcionários atenciosos c todos crianças moradores rua bemvindos fico feliz atitudessó gostaria portão parque carandiru entrarmos ia ajudar entradaobrigada,6 meses atrás,2025-05-01 17:06:31.942114,2025,pós-pandemia
Erinalda JS,1,negativo,"Eu adoro essa biblioteca, o espaço é um charme. Porém, a grande quantidade de moradores de rua que fazem do local um albergue prejudica muito a experiência. Eles fazem arruaça, fedem, dormem no local e traz uma sensação de insegurança ao local. Não é possível focar na leitura ou estudos neste ambiente. Uma pena porque o espaço é super charmoso e tem um bom acervo de livros.",adoro biblioteca espaço charme porém grande quantidade moradores rua fazem local albergue prejudica experiência fazem arruaça fedem dormem local traz sensação insegurança local possível focar leitura estudos neste ambiente pena porque espaço super charmoso bom acervo livros,6 meses atrás,2025-05-01 17:06:31.942120,2025,pós-pandemia
Vera Lúcia Meireles,5,positivo,Sem comentário,comentário,7 meses atrás,2025-04-01 17:06:31.942126,2025,pós-pandemia
Bruna Graciotti,5,positivo,Sem comentário,comentário,7 meses atrás,2025-04-01 17:06:31.942132,2025,pós-pandemia
Lucas Ribeiro,1,negativo,"Exigem que qualquer tipo de bolsa seja guardada, mas não possuem capacidade de entregar as senhas para os armários numa velocidade razoável, demora sem fim para conseguir entrar na biblioteca de fato. Não recomendo.",exigem qualquer tipo bolsa guardada possuem capacidade entregar senhas armários velocidade razoável demora fim conseguir entrar biblioteca fato recomendo,7 meses atrás,2025-04-01 17:06:31.942138,2025,pós-pandemia
Patricia Silva,5,positivo,Sem comentário,comentário,7 meses atrás,2025-04-01 17:06:31.942143,2025,pós-pandemia
Rosana Nazario,5,positivo,Lugar maravilhoso 🤩🤩🤩💯,lugar maravilhoso 🤩🤩🤩💯,7 meses atrás,2025-04-01 17:06:31.942149,2025,pós-pandemia
Wagner Mattos,5,positivo,Lugar fantástico!,lugar fantástico,8 meses atrás,2025-03-02 17:06:31.942155,2025,pós-pandemia
Isabella Ananda,1,negativo,"Descaso completo. Voltei à biblioteca após alguns anos e ela está bem diferente. A maioria das pessoas na biblioteca eram moradores de rua e outras pessoas suspeitas, ambos claramente não estavam ali pelos livros, fazendo da biblioteca seu albergue. Mais de uma vez vi algumas dessas pessoas sendo retiradas por seguranças. Paira um clima de insegurança e até um fedor. Muito triste pois a infraestrutura e o acervo são ótimos.",descaso completo voltei biblioteca após alguns anos bem diferente maioria pessoas biblioteca moradores rua outras pessoas suspeitas ambos claramente ali livros fazendo biblioteca albergue vez vi algumas dessas pessoas sendo retiradas seguranças paira clima insegurança fedor triste pois infraestrutura acervo ótimos,8 meses atrás,2025-03-02 17:06:31.942162,2025,pós-pandemia
Théo Littig,5,positivo,"Ótimo lugar para trabalhar, ler, estudar. O ambiente possui Internet com acesso gratuito. Quanto ao silêncio do local, vai depender da educação das pessoas, pois os funcionários até tentam controlar essa questão.",ótimo lugar trabalhar ler estudar ambiente possui internet acesso gratuito quanto silêncio local vai depender educação pessoas pois funcionários tentam controlar questão,8 meses atrás,2025-03-02 17:06:31.942168,2025,pós-pandemia
Matheus Marques,5,positivo,"Excelente biblioteca! Acervo grande, com muitas mesas e poltronas disponíveis para estudar em um ambiente limpo e organizado. Quando fui, havia um pouco de barulho das crianças, mas nada que incomode se estiver de fone de ouvido.",excelente biblioteca acervo grande muitas mesas poltronas disponíveis estudar ambiente limpo organizado havia pouco barulho crianças nada incomode fone ouvido,9 meses atrás,2025-01-31 17:06:31.942173,2025,pós-pandemia
Fagner José de Morais,5,positivo,"Biblioteca maravilhosa, acervo magnífico e funcionários super atenciosos.",biblioteca maravilhosa acervo magnífico funcionários super atenciosos,10 meses atrás,2025-01-01 17:06:31.942180,2025,pós-pandemia
Anderson LS,5,positivo,Sem comentário,comentário,10 meses atrás,2025-01-01 17:06:31.942188,2025,pós-pandemia
Patricia Gomes,5,positivo,Sem comentário,comentário,11 meses atrás,2024-12-02 17:06:31.942194,2024,pós-pandemia
Pietra Gabriele,5,positivo,Sem comentário,comentário,11 meses atrás,2024-12-02 17:06:31.942200,2024,pós-pandemia
Carla Amélia Ribeiro Coelho,5,positivo,"Foi a biblioteca onde dediquei meus dias de estudo pré-vestibular e, no final, deu certo!! muito amor por esse espaço! adorava pegar os livros emprestados, todos em bom estado de conservação!",biblioteca onde dediquei dias estudo prévestibular final deu certo amor espaço adorava pegar livros emprestados todos bom estado conservação,11 meses atrás,2024-12-02 17:06:31.942206,2024,pós-pandemia
Marilia Antunes,5,positivo,Sem comentário,comentário,11 meses atrás,2024-12-02 17:06:31.942212,2024,pós-pandemia
ROCK,4,positivo,"A biblioteca é bem legal na maior parte. Entretanto, o que deveria mudar é a questão do silêncio e da ""bagunça"". Muita gente não respeita o ambiente e fica parecendo mais um pub do que uma biblioteca. O problema é que os funcionários do local, na maioria das vezes não falam nada e acaba ficando meio ruim pra quem precisa de um ambiente com silêncio, para se concentrar na leitura e/ou estudos.",biblioteca bem legal maior parte entretanto deveria mudar questão silêncio bagunça muita gente respeita ambiente fica parecendo pub biblioteca problema funcionários local maioria vezes falam nada acaba ficando meio ruim pra precisa ambiente silêncio concentrar leitura eou estudos,um ano atrás,2024-10-28 17:06:31.942218,2024,pós-pandemia
Sílvio Saraiva,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942226,2024,pós-pandemia
Natália Macedo,1,negativo,"Não consegui achar a entrada. Deveria ser mais sinalizado. Tinha muito morador de rua dormindo nas laterais. Fiquei com medo. Um cara mal encarado começou a falar que a entrada era lá no fundo, não sei se era vdd ou mentira, mas como estava sozinha decidi ir embora.",consegui achar entrada deveria sinalizado morador rua dormindo laterais fiquei medo cara mal encarado começou falar entrada lá fundo sei vdd mentira sozinha decidi ir embora,um ano atrás,2024-10-28 17:06:31.942234,2024,pós-pandemia
